Timestamp (ASCII);Timestamp (s);Timecounter (s);IMU X Acc (G);IMU Y Acc (G);IMU Z Acc (G);IMU X Gyr (dps);IMU Y Gyr (dps);IMU Z Gyr (dps);IMU X Mag (gauss);IMU Y Mag (gauss);IMU Z Mag (gauss);Temperature (C);Batt Voltage (V);RSSI (-dB)
05.03.2026 17:28:48.610553;1772728128.6105533;0.6417742;0.0346480;-0.0087840;-0.9791720;-0.5425000;-0.6825000;0.1575000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.619609;1772728128.6196089;0.6508304;0.0336720;-0.0080520;-0.9794160;-0.5775000;-0.6475000;0.1575000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.628664;1772728128.6286645;0.6598865;0.0345260;-0.0078080;-0.9791720;-0.6475000;-0.7875000;0.1050000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.637720;1772728128.6377201;0.6689426;0.0337940;-0.0073200;-0.9789280;-0.6475000;-0.7175000;0.1050000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.646776;1772728128.6467757;0.6779987;0.0345260;-0.0078080;-0.9777080;-0.5600000;-0.7000000;0.1400000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.655832;1772728128.6558316;0.6870549;0.0340380;-0.0080520;-0.9783180;-0.5600000;-0.7000000;0.1575000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.664887;1772728128.6648872;0.6961110;0.0341600;-0.0080520;-0.9786840;-0.5075000;-0.7175000;0.2100000;0.0534853;-0.1889522;-0.0929417;9.5273438;4.0000000;57
05.03.2026 17:28:48.673941;1772728128.6739409;0.7051653;0.0348920;-0.0081740;-0.9785620;-0.5425000;-0.6650000;0.1575000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.682995;1772728128.6829948;0.7142195;0.0342820;-0.0082960;-0.9792940;-0.5425000;-0.6825000;0.1050000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.692049;1772728128.6920485;0.7232738;0.0342820;-0.0076860;-0.9785620;-0.5950000;-0.5950000;0.1925000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.701102;1772728128.7011023;0.7323280;0.0340380;-0.0078080;-0.9791720;-0.5425000;-0.6125000;0.1750000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
