Timestamp (ASCII);Timestamp (s);Timecounter (s);Ch 1;Ch 2;Ch 3;Ch 4;
06.02.2026 15:12:31.526076;1770387151.5260756;0.7341488;-0.1722807;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.536031;1770387151.5360305;0.7440987;-0.1722733;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.545985;1770387151.5459855;0.7540486;-0.1722407;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.555940;1770387151.5559404;0.7639985;-0.1722481;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.565895;1770387151.5658951;0.7739484;-0.1722435;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.575850;1770387151.5758500;0.7838983;-0.1723189;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.585805;1770387151.5858049;0.7938482;-0.1722826;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.595760;1770387151.5957599;0.8037981;-0.1723059;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.605715;1770387151.6057146;0.8137480;-0.1723059;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.615669;1770387151.6156695;0.8236978;-0.1723086;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.625624;1770387151.6256244;0.8336477;-0.1722919;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.635579;1770387151.6355793;0.8435976;-0.1723170;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.645534;1770387151.6455340;0.8535475;-0.1722667;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.655489;1770387151.6554890;0.8634974;-0.1722882;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.665444;1770387151.6654439;0.8734473;-0.1723049;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.675399;1770387151.6753988;0.8833972;-0.1723059;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.685354;1770387151.6853535;0.8933471;-0.1722667;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.695308;1770387151.6953084;0.9032970;-0.1722733;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.705264;1770387151.7052636;0.9132473;-0.1722388;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.715219;1770387151.7152190;0.9231975;-0.1722788;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.725174;1770387151.7251742;0.9331478;-0.1722462;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.735129;1770387151.7351294;0.9430981;-0.1723189;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.745085;1770387151.7450848;0.9530484;-0.1722546;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.755040;1770387151.7550399;0.9629986;-0.1722807;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.764995;1770387151.7649951;0.9729489;-0.1722779;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.774951;1770387151.7749505;0.9828992;-0.1723031;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.784906;1770387151.7849057;0.9928495;-0.1722910;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.794861;1770387151.7948608;1.0027997;-0.1723021;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.804816;1770387151.8048162;1.0127500;-0.1723096;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.814771;1770387151.8147714;1.0227003;-0.1723338;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.824727;1770387151.8247266;1.0326505;-0.1723012;0.0000000;0.0000000;0.0000000;
